,file_paths,class_pred,class_true,filenam,pred
0,/home/alex/GitLabProjects/research/nii_test/disease_liver/0._big_gallery.jpeg,2,disease_liver,0._big_gallery.jpeg,no_liver
1,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-21 (1).jpg,1,disease_liver,01-21 (1).jpg,liver
2,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-21.jpg,1,disease_liver,01-21.jpg,liver
3,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-22.jpg,1,disease_liver,01-22.jpg,liver
4,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-23.jpg,1,disease_liver,01-23.jpg,liver
5,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-24.jpg,1,disease_liver,01-24.jpg,liver
6,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-25.jpg,1,disease_liver,01-25.jpg,liver
7,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-26 (1).jpg,1,disease_liver,01-26 (1).jpg,liver
8,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-26.jpg,1,disease_liver,01-26.jpg,liver
9,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-27.jpg,1,disease_liver,01-27.jpg,liver
10,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-28.jpg,1,disease_liver,01-28.jpg,liver
11,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-29.jpg,1,disease_liver,01-29.jpg,liver
12,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-30.jpg,1,disease_liver,01-30.jpg,liver
13,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-31 (1).jpg,0,disease_liver,01-31 (1).jpg,disease_liver
14,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-31.jpg,0,disease_liver,01-31.jpg,disease_liver
15,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-32.jpg,0,disease_liver,01-32.jpg,disease_liver
16,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-33.jpg,0,disease_liver,01-33.jpg,disease_liver
17,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-34.jpg,0,disease_liver,01-34.jpg,disease_liver
18,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-35.jpg,0,disease_liver,01-35.jpg,disease_liver
19,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-36 (1).jpg,0,disease_liver,01-36 (1).jpg,disease_liver
20,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-36.jpg,0,disease_liver,01-36.jpg,disease_liver
21,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-37.jpg,0,disease_liver,01-37.jpg,disease_liver
22,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-38 (1).jpg,0,disease_liver,01-38 (1).jpg,disease_liver
23,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-38.jpg,0,disease_liver,01-38.jpg,disease_liver
24,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-39.jpg,0,disease_liver,01-39.jpg,disease_liver
25,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-40.jpg,0,disease_liver,01-40.jpg,disease_liver
26,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-41.jpg,0,disease_liver,01-41.jpg,disease_liver
27,/home/alex/GitLabProjects/research/nii_test/disease_liver/01-42.jpg,0,disease_liver,01-42.jpg,disease_liver
